6:1:j;11:7:k;4:10:b;8:4:h;4:3:f;12:13:m
1:1:s;10:8:e;9:10:x;9:1:n;9:9:o;14:10:l
2:8:y;11:7:s;0:13:a;1:8:o;3:2:j;14:13:w
5:2:p;12:3:y;9:13:g;3:6:d;7:2:n;13:11:s
7:1:r;14:0:f;0:10:y;4:5:y;1:9:w;12:13:d
0:7:f;14:3:c;6:14:q;9:7:c;4:3:t;14:11:b
5:9:j;10:5:e;4:10:o;9:9:t;5:7:u;14:11:s
9:5:l;10:6:v;9:11:l;3:9:k;5:0:h;14:11:y
8:9:b;12:9:z;1:10:p;0:1:b;7:5:w;10:13:g
3:2:t;14:3:i;4:11:e;3:2:f;8:4:g;12:13:p
4:7:g;13:8:z;7:12:d;0:9:l;7:0:d;10:11:a
6:2:g;12:0:c;3:13:d;7:7:k;6:2:q;13:14:d
2:0:b;10:3:o;9:10:s;0:4:k;6:9:v;10:13:p
0:3:x;13:0:g;9:14:r;2:1:l;1:4:l;11:14:k
6:8:k;11:7:h;6:12:k;3:6:b;0:2:g;12:11:a
4:4:o;11:7:r;9:11:y;1:4:z;0:8:o;11:14:x
6:9:q;10:3:r;7:13:j;4:3:a;7:3:j;12:11:q
4:0:w;10:2:v;7:14:h;2:2:f;2:3:j;13:10:s
8:5:a;13:1:q;4:11:u;2:6:k;7:7:o;14:10:o
7:2:g;11:5:a;8:12:y;8:2:r;7:3:w;13:13:l
3:1:r;12:7:j;1:12:x;0:7:b;0:1:c;14:10:p
5:1:m;11:1:o;1:10:p;1:4:r;5:0:q;13:12:c
6:8:h;14:7:x;1:12:j;9:5:y;8:3:s;13:13:w
1:2:p;11:0:w;2:11:b;9:0:d;5:4:x;10:13:t
9:5:h;11:4:b;6:12:x;3:9:y;6:9:o;14:12:b
2:8:s;10:8:l;8:12:b;1:4:a;5:4:p;10:12:t
3:3:s;12:8:e;4:13:g;3:9:h;2:4:o;14:13:l
4:0:p;14:4:j;7:12:m;5:9:s;1:0:h;14:13:x
2:2:e;11:1:j;2:14:t;2:1:e;9:0:o;11:10:x
8:9:t;12:1:l;8:12:a;7:4:m;5:4:s;13:11:c
0:7:v;13:1:g;0:13:m;8:1:f;0:4:y;14:11:t
5:8:g;11:0:t;0:11:y;3:5:c;7:4:w;10:11:o
6:8:e;10:4:v;4:12:a;1:5:d;3:3:t;11:11:j
7:0:n;13:8:s;8:14:r;0:0:l;1:0:g;13:11:j
6:3:s;14:0:o;8:13:z;2:7:w;6:6:d;12:13:q
7:0:r;10:1:y;2:10:f;1:4:i;3:2:n;11:12:q
7:6:g;12:6:z;4:11:v;0:8:s;7:0:b;10:12:g
7:0:e;10:5:i;1:13:z;1:4:y;0:0:u;13:11:q
1:4:h;14:2:u;0:12:e;5:2:x;9:9:s;13:14:q
6:5:l;12:9:y;7:12:f;7:6:k;7:9:d;11:10:g
8:9:v;11:4:j;0:13:g;7:1:k;6:8:g;11:13:k
4:8:v;10:4:j;9:11:m;2:5:s;2:0:k;10:10:t
5:4:t;14:1:u;8:14:p;2:6:o;9:6:a;11:12:j
7:3:e;10:9:d;3:11:k;9:5:f;1:2:n;14:10:b
1:2:o;13:6:c;8:14:b;0:3:u;2:1:j;10:12:e
6:0:v;14:8:g;6:13:j;3:4:b;0:8:u;13:13:z
0:7:j;10:8:y;7:12:d;2:9:x;5:9:m;13:14:f
6:5:i;11:8:k;8:10:y;5:8:u;1:2:s;10:14:x
8:3:z;10:0:y;7:12:x;1:7:m;6:4:q;11:14:a
4:4:w;12:7:n;3:12:d;6:8:o;7:8:o;12:12:f
3:1:m;11:5:k;0:14:b;2:3:s;3:9:p;14:12:i
8:3:n;10:1:z;0:12:w;0:9:b;1:3:y;13:10:s
5:9:d;12:9:u;4:13:t;4:2:w;8:3:c;11:13:q
8:7:u;10:9:m;2:10:r;3:3:n;2:4:n;14:14:n
2:4:z;10:3:f;5:14:y;5:1:m;6:7:z;10:14:m
1:6:r;13:8:v;8:13:v;5:3:j;2:0:k;12:14:v
6:2:z;11:9:x;8:14:b;4:5:u;2:4:n;12:10:b
6:8:v;11:9:u;4:13:b;9:3:h;2:4:m;11:13:u
8:3:i;10:5:l;5:12:r;2:9:t;8:7:s;14:11:v
4:6:v;12:9:f;6:12:b;6:1:h;0:0:k;11:11:i
1:8:b;14:9:f;5:14:q;8:9:b;0:4:a;11:14:q
9:7:p;14:9:w;2:14:l;7:5:t;2:5:g;11:10:z
8:2:c;13:4:b;0:12:w;9:4:p;6:6:d;11:11:s
3:3:p;13:2:f;2:10:w;4:5:s;1:3:z;13:10:e
2:0:p;14:3:o;8:10:c;6:0:g;2:9:x;11:14:k
9:5:l;14:9:o;8:14:q;6:2:c;8:1:p;11:11:b
0:2:t;10:0:a;6:14:j;4:9:l;4:9:s;14:10:r
4:9:w;13:5:i;3:12:l;0:4:b;5:2:u;13:14:n
6:3:o;12:6:v;3:12:a;0:4:e;8:1:l;11:14:v
6:9:b;11:3:x;7:11:q;6:0:a;6:6:e;14:12:g
8:7:p;14:4:v;0:12:d;2:0:b;3:8:j;11:14:u
1:7:v;10:8:e;9:10:i;4:4:b;1:5:d;14:10:s
4:2:m;10:0:y;4:10:w;2:8:w;6:3:x;10:14:u
2:7:v;10:6:t;4:12:i;8:7:j;7:8:w;14:14:j
1:7:v;11:0:r;0:12:m;9:3:l;8:8:r;13:13:b
5:8:q;14:4:g;4:14:g;7:5:f;9:9:l;12:13:z
3:4:g;12:0:u;3:10:r;9:1:o;5:0:y;12:11:q
6:3:x;14:4:f;1:10:g;9:9:n;5:8:j;13:13:x
2:8:b;13:6:k;7:14:l;9:3:j;9:6:i;10:13:f
6:9:k;13:2:b;9:13:w;7:8:j;6:0:h;12:14:k
4:2:f;11:0:t;8:12:m;7:0:c;6:4:a;12:11:w
6:0:t;11:2:m;2:12:o;1:2:b;8:6:q;13:10:f
6:4:y;14:1:p;3:10:l;2:4:f;2:2:s;10:12:n
4:2:k;11:8:d;1:13:d;7:5:c;3:0:o;10:14:z
6:3:l;14:6:p;1:10:c;3:4:y;9:2:t;11:13:x
5:2:j;11:1:x;6:11:o;2:4:c;4:4:v;12:11:u
6:3:k;10:4:o;2:11:m;3:5:o;8:3:m;10:14:q
7:7:a;11:9:d;2:10:b;4:8:j;5:7:l;10:14:d
7:7:t;13:5:u;3:12:u;0:3:y;7:0:d;13:12:g
7:4:v;13:1:h;4:14:g;8:3:o;1:9:u;11:13:j
6:2:q;12:5:d;0:12:b;5:1:n;6:5:n;10:10:l
4:9:y;12:5:b;2:11:n;2:8:v;7:9:v;12:14:o
0:7:m;13:1:l;1:13:u;9:6:a;4:7:h;11:12:h
0:3:v;13:0:l;2:10:r;1:8:g;7:0:b;11:12:c
7:5:l;13:6:n;0:12:j;1:4:b;9:0:d;13:14:t
1:2:x;10:7:w;5:14:z;4:1:d;5:4:s;10:11:z
6:6:i;11:6:p;9:12:d;7:5:m;1:9:e;14:13:m
2:2:q;12:1:l;5:13:g;9:6:n;3:5:r;13:11:b
4:5:h;11:8:i;2:14:c;8:7:y;5:0:s;10:12:c
8:7:e;14:0:q;4:14:r;6:5:k;2:8:x;12:11:l
7:3:j;11:6:i;9:13:i;2:5:g;3:3:s;11:10:z
6:0:z;10:8:z;1:11:n;0:7:d;2:8:w;14:11:c
5:2:u;14:1:o;7:14:x;9:9:u;6:8:i;10:13:r
4:5:d;10:5:c;0:11:q;7:5:s;6:6:j;11:11:v
0:6:p;12:1:o;2:10:f;2:3:v;3:0:a;10:12:v
8:1:e;13:7:g;2:12:i;8:8:y;9:7:x;10:12:z
9:1:a;13:2:x;1:13:b;9:9:q;0:8:l;14:14:c
0:6:i;10:9:j;5:13:k;7:7:y;3:8:j;12:14:r
9:6:i;12:6:q;9:11:r;0:9:z;4:4:h;10:11:b
3:9:w;12:7:i;7:14:g;5:7:v;7:8:z;11:10:o
9:1:m;12:6:w;5:10:t;2:2:n;1:8:n;10:12:h
5:0:z;10:9:x;1:11:f;3:9:t;2:0:n;10:14:f
5:1:i;10:6:f;9:11:k;0:3:r;8:4:o;10:14:h
9:1:s;12:8:m;3:11:n;1:0:y;8:2:e;11:12:d
9:9:t;14:0:n;2:11:e;0:3:b;3:8:h;14:12:h
0:6:t;12:8:c;8:10:x;7:6:t;9:3:f;13:13:t
9:3:s;12:8:i;8:12:w;4:0:p;9:1:v;10:10:y
3:2:g;11:9:e;6:14:v;7:5:k;7:0:a;11:14:p
1:9:n;13:3:h;2:13:n;5:1:e;7:3:u;10:14:t
0:0:b;13:6:p;1:14:c;0:6:u;9:4:w;13:12:v
7:2:m;10:8:a;7:10:q;9:5:f;3:1:p;14:11:y
8:9:k;11:7:q;7:13:e;3:3:t;7:2:k;14:10:c
8:2:m;11:7:o;5:10:y;3:5:c;5:0:s;14:14:k
0:3:b;12:8:r;0:14:n;8:5:b;7:8:m;13:10:e
2:0:a;11:4:c;8:10:d;9:5:m;5:1:o;14:11:o
1:3:u;14:2:e;9:11:f;2:8:q;9:4:z;11:12:v
8:5:p;13:4:h;5:10:l;4:9:i;5:0:j;14:12:f
8:1:h;13:0:h;7:11:f;5:7:j;9:6:q;13:11:s
7:6:h;12:9:u;8:10:o;4:1:j;7:2:a;14:12:d
8:8:p;14:8:x;0:14:u;4:9:n;9:3:l;12:10:q
3:0:j;11:6:r;6:11:v;2:5:r;2:3:u;14:10:u
4:9:u;11:5:a;7:12:d;4:5:b;4:2:o;12:14:z
1:5:h;11:0:c;4:10:r;1:5:c;6:0:i;14:11:n
4:8:n;14:0:e;6:14:h;7:6:d;1:5:m;11:11:a
1:7:b;10:2:a;6:14:w;3:9:l;1:8:m;13:12:y
0:3:c;11:3:e;7:10:a;6:1:f;4:5:f;13:13:i
2:4:z;14:0:n;5:13:s;3:8:a;3:6:w;11:11:x
6:7:b;11:3:q;7:13:z;4:5:d;6:7:t;12:13:z
4:0:k;12:0:v;8:10:j;1:3:c;6:7:t;12:12:v
5:5:q;12:9:e;6:13:k;3:0:p;9:9:o;11:10:b
3:8:z;10:1:j;3:10:s;0:3:n;8:9:i;11:11:s
5:6:q;13:8:u;5:10:x;6:1:b;1:3:y;14:14:e
4:7:z;12:2:m;3:10:l;9:7:k;2:6:o;10:12:l
7:7:a;10:5:c;3:14:b;2:8:y;5:2:c;11:12:k
7:3:c;14:3:v;6:11:w;9:3:t;7:8:r;10:10:t
3:5:p;13:7:w;9:12:z;8:8:q;0:8:g;13:13:v
2:6:l;12:2:m;7:12:a;1:7:z;1:7:d;11:13:e
3:9:r;14:2:o;1:11:s;5:3:d;4:7:a;13:13:p
1:1:k;12:7:t;6:12:o;8:2:k;8:0:c;12:12:q
6:9:s;10:7:n;5:10:m;5:8:t;7:4:a;14:12:x
1:4:v;13:2:e;7:14:q;6:7:i;1:1:x;10:10:h
1:3:w;12:3:r;5:12:c;9:6:p;3:0:u;13:11:k
9:1:u;13:4:q;8:12:l;4:7:q;6:1:i;11:14:i
4:9:w;10:4:w;1:11:c;2:0:t;5:9:m;11:12:z
0:1:x;12:6:d;8:12:z;8:9:p;0:3:o;11:12:i
1:8:c;12:4:o;0:10:w;5:3:a;9:8:s;12:10:v
6:3:k;10:4:k;8:13:o;0:7:i;3:5:j;10:11:f
0:3:c;11:8:w;6:12:h;7:2:d;4:2:y;12:10:s
1:0:k;13:1:y;1:12:x;5:3:p;3:0:i;14:11:s
3:9:y;12:6:q;2:14:w;2:1:n;4:1:w;13:12:k
4:8:v;13:0:g;8:10:p;5:0:m;1:6:l;10:14:t
6:0:l;13:6:t;6:12:k;3:7:m;9:5:u;13:12:b
7:0:m;10:3:g;9:14:h;6:4:h;4:2:k;13:12:q
8:1:w;14:8:g;1:10:n;1:5:e;7:2:j;14:10:m
9:4:n;11:8:u;4:14:z;6:4:y;0:4:k;12:10:m
5:2:c;13:8:u;0:13:w;9:4:k;0:3:w;12:11:f
7:2:x;14:2:e;4:10:a;5:3:b;3:6:b;10:12:a
8:4:n;13:1:x;8:10:h;3:8:k;7:8:e;11:14:r
4:7:a;14:2:c;3:14:s;4:0:m;3:2:v;11:11:m
4:6:s;13:3:e;3:10:m;6:0:n;0:7:q;13:10:l
3:5:v;14:8:p;8:10:i;3:6:x;1:7:g;11:14:x
7:6:p;14:7:y;0:12:x;9:5:o;3:2:i;12:13:v
0:6:x;12:5:b;8:13:j;7:1:n;2:0:w;13:10:f
8:8:d;10:0:h;9:11:c;7:5:r;2:3:o;13:11:n
7:4:d;14:5:y;0:13:j;0:3:a;3:5:a;13:13:v
7:2:o;13:2:h;3:14:s;0:9:p;1:7:x;14:10:y
3:5:e;13:8:x;3:12:h;0:1:r;1:1:t;10:13:g
9:5:s;12:5:m;5:11:p;3:4:o;9:9:v;14:12:c
9:0:b;12:8:u;3:12:d;1:8:e;9:0:c;14:11:z
3:3:n;10:8:x;4:10:d;7:9:e;0:7:u;11:12:q
8:5:e;12:6:d;9:12:z;1:5:u;3:2:a;13:11:z
7:4:i;12:8:h;7:12:c;6:2:a;4:6:r;13:14:q
2:3:i;11:8:h;0:12:d;5:0:f;8:0:v;13:11:f
4:1:k;10:3:p;6:14:u;2:3:z;0:3:z;13:14:r
7:5:s;13:4:p;5:10:w;0:9:e;1:8:w;14:11:j
7:0:j;10:7:v;9:10:y;3:2:k;2:2:k;11:13:z
2:3:y;11:6:b;6:13:x;3:4:g;0:5:u;14:12:v
8:1:f;11:1:q;0:12:n;3:8:a;4:6:t;13:10:i
8:9:b;13:9:b;6:10:a;8:3:q;4:9:z;14:10:m
8:6:c;14:6:i;8:11:i;7:4:m;5:5:e;10:10:z
2:8:n;11:6:x;5:13:f;7:2:i;7:5:z;10:13:h
4:3:j;13:7:v;1:10:c;8:2:y;1:1:j;13:12:a
0:5:y;12:9:p;0:14:y;1:7:w;0:0:d;12:10:v
4:8:g;12:1:k;4:12:e;0:2:n;6:2:w;13:11:i
7:4:o;14:7:b;2:13:f;8:4:t;0:2:q;10:10:t
6:8:b;10:3:y;6:13:d;0:3:l;1:8:c;13:12:v
1:7:c;12:3:j;7:12:r;4:7:s;1:7:b;13:10:o
8:3:f;12:7:i;3:11:t;7:4:y;4:7:n;12:12:h
8:4:p;13:0:b;9:14:o;0:5:m;4:4:i;13:14:r
1:6:b;13:8:u;0:12:i;6:0:w;9:5:m;12:13:m
6:5:m;12:0:t;2:11:c;6:8:z;1:0:g;10:14:j
7:2:y;11:5:f;9:14:i;7:0:m;1:6:a;10:11:a
3:0:k;11:9:r;6:13:d;7:6:x;9:7:v;10:11:k
9:8:l;14:4:k;1:12:w;7:2:a;2:7:z;14:12:b
4:3:i;12:0:y;3:10:h;6:8:n;4:7:t;10:13:z
7:5:i;11:8:i;0:11:c;4:6:m;1:1:t;13:10:g
8:1:e;11:1:g;3:14:h;1:6:p;4:8:d;11:10:o
6:0:n;10:5:z;3:12:c;6:4:t;3:4:f;11:12:e
6:3:z;13:9:x;6:14:s;8:5:y;3:3:p;13:10:f
1:5:c;10:1:q;7:12:x;0:5:c;2:2:g;10:13:c
8:4:z;11:0:h;9:11:b;9:3:j;7:3:p;14:14:z
4:0:k;12:5:a;5:14:w;0:9:u;8:8:g;11:10:o
0:9:n;11:3:n;8:14:i;9:8:s;5:8:g;12:10:h
3:7:o;10:2:h;3:12:v;2:2:l;3:3:f;10:13:a
2:8:f;10:8:n;4:11:c;2:1:o;9:4:z;13:11:u
5:0:m;13:2:u;0:12:p;7:3:t;5:4:y;10:10:i
4:9:t;11:9:h;8:14:p;7:4:l;0:9:d;11:10:n
6:9:e;13:5:i;5:14:s;6:2:j;9:7:o;11:14:b
4:2:o;11:9:s;4:13:n;4:8:h;9:9:a;13:12:n
8:1:m;12:8:p;7:14:j;4:1:j;0:4:s;13:11:d
1:0:r;12:3:w;5:10:k;6:3:e;2:5:b;10:13:g
3:8:y;14:0:t;0:10:u;6:5:v;9:6:f;12:13:m
2:6:t;11:2:r;4:13:j;9:8:o;0:8:c;14:14:k
8:7:r;10:2:d;1:10:d;6:4:v;2:6:y;10:14:z
1:4:o;11:9:q;8:14:m;4:6:a;0:7:a;14:11:k
3:3:e;12:4:z;2:14:h;7:3:a;7:2:j;14:13:b
1:6:r;12:9:h;2:14:k;6:6:n;6:3:u;10:11:s
2:1:o;14:0:s;1:10:e;0:3:k;0:7:q;14:10:f
8:1:w;14:6:x;2:14:g;5:9:t;4:3:g;13:12:c
3:3:b;14:8:j;1:10:p;8:6:t;0:0:e;12:12:l
7:7:o;14:3:g;7:10:o;7:6:q;8:6:z;12:10:z
0:3:q;13:5:z;7:13:m;3:6:g;7:9:n;10:11:u
8:8:n;12:7:u;9:10:i;8:9:m;1:0:i;13:11:u
9:0:m;12:3:q;4:12:b;5:5:q;0:9:g;13:12:e
7:3:r;13:4:p;7:14:i;4:1:t;1:7:m;10:10:i
4:0:p;14:6:i;0:11:m;3:4:b;3:9:p;14:10:v
5:9:n;10:6:x;3:12:p;5:9:f;0:7:v;10:12:j
9:3:h;11:0:u;6:13:f;8:8:i;0:3:x;14:11:z
0:7:p;11:3:j;5:13:a;9:7:c;5:2:u;13:14:j
5:6:d;11:6:r;9:14:u;0:8:a;2:3:f;14:11:a
1:8:m;10:8:l;1:12:r;1:2:s;3:2:u;10:10:z
5:9:h;12:1:b;1:14:j;2:4:w;9:8:j;10:10:a
9:9:b;14:3:c;0:13:n;1:0:f;3:2:f;14:11:m
7:4:e;12:2:k;3:12:l;2:4:s;9:8:o;11:14:c
9:0:h;14:2:l;0:12:h;6:0:d;0:0:i;14:10:b
0:8:p;14:5:a;9:11:e;8:0:x;3:1:e;12:14:p
2:7:n;14:5:x;5:12:x;4:6:r;8:1:e;13:13:o
3:9:s;11:6:a;3:11:e;2:6:h;1:0:x;14:13:j
5:5:z;13:0:s;3:12:q;2:8:c;3:1:b;14:14:g
3:4:e;11:5:z;0:14:g;4:1:p;1:6:f;13:13:w
7:2:p;12:4:j;6:12:z;9:4:d;2:2:h;13:10:o
7:3:x;11:0:x;4:12:y;0:9:b;3:5:c;11:10:r
9:6:w;12:4:e;2:14:w;6:9:g;1:3:g;13:12:v
4:4:h;10:5:m;6:12:h;5:8:h;6:7:l;13:14:k
3:6:p;10:4:u;3:10:c;9:0:s;2:0:k;13:12:l
9:7:h;10:3:x;8:13:i;4:4:h;1:3:y;10:11:o
3:1:v;14:1:b;4:13:f;8:5:e;0:8:y;14:10:b
0:4:x;11:4:c;9:10:i;0:9:l;4:7:i;11:11:l
8:8:a;11:6:a;8:13:x;0:9:w;1:7:k;14:13:d
7:2:f;13:5:c;5:11:t;3:4:c;4:6:e;11:14:y
6:5:i;13:8:i;0:10:s;9:1:r;2:3:k;10:13:a
0:9:m;12:9:y;2:13:l;2:0:u;7:0:v;11:14:q
9:1:j;14:0:k;8:11:h;0:0:r;3:1:n;10:14:q
7:9:s;13:3:x;0:14:p;6:5:g;5:2:w;14:14:p
5:1:t;11:8:v;5:11:q;6:6:i;1:3:i;13:12:n
0:5:l;10:0:k;0:12:p;0:3:t;5:8:z;14:12:g
6:0:c;12:0:g;7:12:v;2:6:k;8:6:h;14:11:x
6:3:y;10:4:i;9:11:k;4:5:c;8:3:v;11:11:k
3:7:s;11:6:r;0:12:a;3:2:q;4:4:k;10:11:c
1:4:b;12:5:s;2:13:e;7:9:q;7:2:v;14:12:k
1:6:a;11:6:y;4:14:i;3:0:u;2:5:k;10:12:i
9:1:h;13:1:k;7:12:d;9:9:i;7:4:i;13:11:m
6:7:r;12:8:h;9:10:b;2:1:b;2:2:f;13:13:t
5:7:l;12:8:r;1:12:h;1:9:o;1:3:o;10:14:g
7:0:d;12:2:t;7:12:i;4:7:o;4:5:n;14:13:c
4:1:c;13:0:h;2:12:t;9:8:g;3:8:y;14:10:h
8:8:s;12:6:p;2:13:s;6:1:g;6:2:d;12:11:c
1:5:p;13:0:o;4:14:i;9:6:q;8:5:r;12:13:b
5:7:c;10:5:o;3:11:n;1:8:z;1:5:h;12:13:z
4:0:k;11:8:w;5:11:w;6:1:q;6:8:m;13:12:t
7:1:f;10:5:v;1:11:v;2:2:z;5:7:x;11:12:c
3:3:m;11:5:s;3:10:w;8:1:h;2:8:z;12:12:x
0:5:b;10:7:s;3:12:d;9:6:v;1:1:h;10:12:u
7:9:o;14:4:q;4:10:k;8:6:s;0:5:i;11:10:l
9:9:o;12:2:h;0:14:v;6:9:a;3:8:r;10:10:i
2:9:p;10:3:s;1:14:o;5:3:a;7:7:j;13:14:m
8:8:t;13:3:a;7:10:x;8:9:m;2:3:h;10:14:x
9:6:k;13:5:e;8:12:o;6:4:p;6:6:k;13:10:h
0:3:y;10:7:q;7:10:t;2:8:c;2:8:k;13:13:m
3:1:f;14:7:c;7:14:v;4:5:g;3:3:g;14:12:u
8:9:f;10:7:p;8:14:f;3:2:e;2:2:h;13:14:o
9:0:i;12:9:s;2:11:p;3:8:f;7:7:g;11:11:u
1:0:t;12:5:f;8:11:e;3:7:k;1:7:p;10:13:m
4:3:g;14:6:y;5:14:e;1:7:j;8:3:f;10:13:e
5:7:i;11:5:d;8:14:u;8:1:y;6:1:x;10:12:t
1:7:r;13:7:k;7:12:r;9:1:k;2:4:w;12:12:b
1:3:a;10:9:q;1:13:r;7:0:w;7:2:c;13:14:j
2:4:j;13:2:p;2:13:n;0:2:p;1:1:z;11:14:r
5:6:n;14:2:k;2:12:m;2:5:l;7:5:v;12:13:p
8:0:v;13:2:x;0:10:n;0:8:f;0:9:h;14:10:b
6:6:o;14:4:t;0:13:n;6:2:m;9:5:y;10:14:z
7:1:p;13:3:v;6:14:h;3:7:s;2:8:n;13:11:g
9:1:s;11:0:a;3:14:z;6:3:s;9:3:t;12:11:x
4:6:i;10:5:o;6:11:k;1:2:t;8:0:f;13:14:a
0:9:d;13:0:f;0:14:j;8:4:n;3:8:i;11:10:e
9:1:l;11:9:g;5:14:z;1:4:s;7:0:f;14:10:r
1:9:h;13:0:q;0:13:g;6:0:o;5:5:e;11:12:o
1:6:b;12:0:j;1:11:a;1:8:n;3:3:d;11:13:v
6:7:v;11:4:z;3:10:d;3:7:c;9:1:c;12:11:h
0:0:b;14:1:g;7:10:o;6:3:u;4:5:a;14:12:g
7:2:t;14:4:r;3:12:x;5:4:l;3:7:k;14:11:l
0:3:f;14:4:t;6:10:d;0:2:n;1:5:y;14:12:u
4:3:n;14:5:a;6:14:c;8:0:q;6:8:t;13:10:p
8:8:q;12:8:t;7:14:v;8:8:u;5:5:p;13:11:v
3:7:c;10:7:g;6:10:y;5:9:u;3:7:a;11:14:e
9:3:w;10:0:k;8:10:n;9:8:m;2:0:j;10:10:v
6:5:l;11:5:q;6:14:d;3:4:x;0:7:v;13:12:c
8:2:e;12:8:p;6:12:j;5:9:f;1:7:d;11:14:h
1:7:s;14:9:d;4:10:o;3:4:d;3:2:f;14:10:h
4:1:s;10:0:f;5:12:a;9:5:r;4:2:y;14:10:b
3:3:w;14:4:l;7:13:t;6:1:w;4:7:w;10:11:u
3:6:o;14:8:f;5:11:o;6:0:w;7:3:a;13:10:r
1:2:b;14:6:x;7:10:r;1:5:u;5:5:k;12:12:m
0:9:y;12:0:s;5:12:v;8:0:f;4:4:o;13:10:h
5:4:d;12:9:n;8:14:c;4:7:i;1:3:n;11:10:m
6:5:m;10:0:s;8:13:k;1:2:u;5:7:q;12:14:x
9:0:e;10:7:a;8:13:b;4:3:h;4:6:k;11:13:j
6:7:b;11:3:o;8:12:d;8:2:b;4:0:k;14:14:l
8:4:p;10:4:s;2:12:t;8:0:q;9:7:m;13:13:y
4:8:b;10:2:b;4:10:o;9:7:y;2:1:d;10:10:b
5:2:i;14:0:c;6:13:u;3:5:f;8:1:g;11:11:d
3:5:k;11:4:f;9:10:n;5:2:p;4:1:s;13:14:p
0:4:z;14:3:t;8:13:h;6:2:z;8:4:e;10:13:s
6:5:q;11:8:j;3:13:f;3:4:h;4:3:i;13:11:j
4:6:z;14:9:p;2:10:g;0:0:g;2:3:w;13:14:q
4:9:e;11:2:v;0:11:r;9:8:r;6:1:r;10:13:b
4:1:l;14:2:p;8:12:x;8:9:e;2:2:g;11:10:w
8:6:f;12:3:c;9:10:w;5:1:e;8:2:s;13:14:l
2:5:n;10:0:t;3:12:g;9:9:f;8:3:w;12:13:w
7:4:z;13:6:s;8:13:l;0:6:g;8:4:q;13:14:c
8:7:o;14:9:w;2:10:v;6:7:i;8:5:p;11:13:z
4:5:k;11:6:s;9:12:r;0:8:z;6:1:u;12:14:w
3:1:s;14:2:i;3:12:v;7:9:u;9:9:z;11:10:u
6:4:h;13:5:r;3:13:a;6:4:p;8:8:p;13:12:f
0:4:y;12:4:o;6:13:p;4:3:b;9:7:a;13:10:v
4:1:g;11:0:y;9:14:c;9:3:f;3:3:o;13:14:l
0:5:f;11:5:t;4:13:r;7:4:l;8:8:u;11:14:k
8:0:r;11:0:x;7:10:p;3:5:p;8:5:x;10:13:e
7:7:a;13:6:i;0:11:e;2:5:g;4:3:i;13:14:y
2:4:i;10:8:c;6:12:s;7:3:a;1:2:h;14:11:a
4:0:o;10:3:v;5:12:j;2:5:l;2:0:g;13:11:f
3:9:c;12:7:u;3:14:d;5:6:a;7:9:v;14:10:m
5:3:n;13:1:l;6:11:r;2:0:l;5:2:b;11:13:h
5:9:q;14:6:z;2:13:m;6:3:d;6:7:k;13:14:o
9:5:o;14:2:n;8:11:i;4:5:k;0:0:c;13:13:b
1:3:b;12:3:p;3:13:w;4:2:q;5:9:t;14:10:t
9:1:r;12:1:b;0:10:t;5:4:b;9:1:i;10:14:y
2:2:l;14:2:p;2:14:q;3:9:q;6:2:y;12:11:f
5:3:z;14:1:x;5:14:o;1:2:f;3:4:w;12:11:b
0:2:b;10:3:k;8:14:f;6:1:s;8:4:u;10:10:b
7:5:v;14:7:r;6:12:w;7:4:e;7:3:p;10:11:x
0:2:h;11:2:t;2:13:s;2:7:p;1:7:p;11:10:y
0:4:q;12:8:d;5:10:z;0:0:p;5:8:o;13:12:t
9:5:q;14:6:y;9:14:z;9:0:a;3:3:b;13:14:o
0:2:n;12:3:h;2:12:j;7:2:m;5:6:p;10:12:c
4:5:a;10:0:c;5:11:w;0:8:w;5:9:f;12:13:y
1:6:w;10:9:o;5:12:b;6:4:e;9:9:s;13:12:v
2:5:k;12:7:m;9:13:t;5:0:h;7:6:b;14:14:w
3:5:v;10:0:x;6:13:y;6:4:e;1:2:b;12:14:q
0:3:x;14:2:m;9:14:t;7:8:m;2:7:k;13:13:s
7:6:a;10:8:k;1:12:w;0:0:r;2:0:w;14:14:o
1:7:v;12:0:o;1:11:y;0:2:v;5:8:g;12:11:a
1:7:p;11:5:a;2:11:y;5:7:r;2:9:p;14:10:r
5:1:s;11:9:j;2:10:r;3:0:r;5:3:p;11:12:g
2:2:a;11:0:h;8:11:o;6:6:y;1:0:e;11:14:a
7:4:j;11:5:j;2:14:o;1:9:o;5:8:f;10:14:h
9:6:h;10:2:u;3:10:j;9:3:o;3:4:g;13:14:k
4:8:b;12:2:j;0:13:j;8:9:g;7:2:z;10:12:q
1:1:w;14:7:f;8:13:z;6:9:m;3:1:p;10:10:l
1:9:x;12:7:r;4:14:l;8:3:x;6:8:n;12:12:q
6:6:d;13:2:r;4:13:o;2:6:n;2:4:n;14:11:r
0:6:p;14:6:r;6:11:g;8:6:s;7:0:t;10:10:o
8:6:w;14:6:r;2:10:r;5:6:g;4:1:b;13:11:i
9:0:j;11:5:y;9:14:t;2:4:x;3:1:i;13:11:d
9:6:j;10:2:k;3:10:n;5:4:a;1:8:y;13:13:d
6:9:m;10:1:r;2:13:p;2:5:p;8:8:z;13:13:u
8:8:p;10:9:c;3:10:n;6:8:s;5:3:x;10:14:q
6:3:q;12:3:p;6:14:k;8:8:s;7:9:w;10:12:p
